ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_FilteredBV,Parent_Islets
80,12,58,484,42,1.27633239608407,0.843267938397683,1,0.644444444444445,0.558035157221419,12.1766651252397,12.0415945787923,3,1.52798342398234,1.4142135623731,6.32455532033676,6.54487746762269,32.3507627118678,36.14,0.878787878787879,0.509295817894065,0.0473262721203528,0.169442294704827,0.0877103354574382,0.0328207577264287,0.0231561809204935,0.0268369598312656,0.0265232652328362,0.0406768106888611,0.00548111546762624,0.0218459883032592,0.00175131507570078,0.0147296656463443,0.0153281785100671,0.00378180331254356,0.0301430117565764,0.01314894561797,0.00294959586570142,0.00731918346359948,0.00692771726907074,0.00798610266244904,0.0253047998551507,0.0154792213970523,0.0116789893871324,0.0184598947419877,0.00652681310909592,0.00442829278291749,0.0100310538913853,0.0129835665927473,0.00263501168127903,482.810344827586,41.5344827586207,12,13,0
95,9,43,167,42,1.31263546545905,0.874401958911263,1,0.651515151515152,0.611512547536585,10.8733778651227,10.4403065089106,2.82842712474619,1.47276856327557,1,4.91934955049954,5.27578730269936,-70.1120626813032,29.726,0.934782608695652,0.502287159849651,0.0613327743103126,0.156140898634722,0.101035739760999,0.0320836783963057,0.0339298705610247,0.0484852525685637,0.0165651262412174,0.0416771010493062,0.015998933022404,0.0139919883912126,0.0195398725248022,0.0259437482517117,0.0280163563326535,0.0170375033057127,0.0306141801338086,0.0117546610572994,0.0139595074362354,0.00840057383371073,0.0115271195222271,0.0109384918759434,0.0305903348062892,0.0229632814058902,0.0134778287549214,0.0268990078832976,0.00933487835304115,0.00683739479312674,0.0114617005820175,0.00821099963534212,0.00834363875142092,167.883720930233,40.1627906976744,9,9,0
132,90,203,224,285,3.88273070230531,0.978329487402066,1,0.268518518518519,0.226710498903234,43.870593867973,37.6961536499415,3.16227766016838,1.63511411755784,1.4142135623731,9.84726522296382,9.08358778676925,-22.4344345071349,106.076,0.604166666666667,0.181891363533595,0.0256974061708986,0.0461722823888938,0.0554233904013086,0.0301405825157199,0.0149231524770061,0.0149353961278143,0.0205424412230884,0.02995626808253,0.0268790703980721,0.0148198884078995,0.0115675400571902,0.00908929655261007,0.00882915033600087,0.0177033857325354,0.017127160608129,0.022716557886399,0.0088657559000105,0.0127288105087521,0.00807876802667557,0.00638068339372648,0.00606557328121447,0.00276010661482195,0.0111619815577072,0.0108758133580269,0.0123431525302236,0.0120465400889508,0.00451046901405502,0.0106103128015682,0.00503322454185203,224.354679802956,286.596059113301,90,94,0
141,10,51,277,68,1.05645766026139,0.687073944031674,1,0.708333333333333,0.70222872347755,9.55974431399052,8.94427190999916,3.60555127546399,1.68956754839897,1.4142135623731,6.26099033699941,6.94599072356061,28.4149797524873,30.21,0.894736842105263,0.811690209768666,0.041502531512183,0.111408460164327,0.10770921746558,0.0151406465512801,0.0252901160879553,0.015278874536822,0.0434490079705398,0.0178082931467482,0.00666268291180805,0.0115818715362194,0.00935152109868226,0.0380380313989633,0.0106694665334849,0.0384164725503573,0.0180646294031584,0.0132535391941878,0.00807416345869593,0.00803465567855815,0.00464397873409084,0.033128101404577,0.0164616457352234,0.0392980647932357,0.0351809603032386,0.0225822436319788,0.00900362779105164,0.0170358018421134,0.00352828486787193,0.00616290162902908,0.0154079934240269,276.803921568627,68.1176470588235,10,10,0
141,23,39,161,127,1.58205053605142,0.890422929989631,1,0.557142857142857,0.497637655006925,11.4945164751651,10.295630140987,2.82842712474619,1.34303086157002,1,5.2,5.23154586491547,-65.8571641615075,31.382,0.829787234042553,0.468456058911994,0.0778271856942186,0.0954136433487902,0.123471554699784,0.0298305473125383,0.0269871104309071,0.035881140202559,0.0208652929730237,0.0472639573798496,0.00278685204355425,0.0233491425085368,0.0166294045470301,0.00968272726359831,0.0313536712569049,0.0332683679603851,0.0236478101676225,0.0047081705779561,0.0267509582580073,0.00784187990514197,0.0111160131522897,0.027803380345595,0.0124486045426127,0.0129948185034396,0.0333442803173503,0.0127369563924463,0.00360214016977273,0.0203750347811081,0.00601658032031895,0.000663300783094027,0.00884083609539516,160.153846153846,128.948717948718,23,24,1
142,23,52,70,83,1.12063126659543,0.566514715397722,1,0.577777777777778,0.646350711231758,9.48060491604584,9.21954445729289,3.16227766016838,1.4938122784257,1.4142135623731,7.48845264904059,7.81250786733524,-12.3834411564889,31.796,0.852459016393443,0.750350965607821,0.0237760970470427,0.123628397132398,0.0527643003227532,0.0266835654803596,0.0646812258687045,0.00422259308597297,0.00572035414838574,0.0684552368182345,0.0188631353224497,0.0345709097518242,0.0208278403753446,0.0463289026357122,0.0132030578012536,0.0384611421258595,0.00286568286399278,0.015685904450798,0.00821841166624998,0.0166815638373931,0.0370599063092225,0.0568357732942101,0.0108441870337079,0.0385814321378491,0.01402427827778,0.0336947558464118,0.0175094032475209,0.0258947675455005,0.0133051509694151,0.028534252367885,0.00341239438943713,70.3269230769231,82.4423076923077,23,25,0
142,35,77,6,117,1.23251632850015,0.764588508243862,2,0.55,0.410440833828289,13.1445563488301,13.6014705087354,3.60555127546399,1.71399777106365,1.4142135623731,8.22192191643779,8.47191296566015,6.30807209773798,48.554,0.736842105263158,0.529942945646527,0.0389227315269682,0.178086127118984,0.0742758389862777,0.0150747821119296,0.023746795206771,0.0457052099461246,0.0159878138870049,0.0419653758692177,0.02573393021857,0.039777266361918,0.00609003731920021,0.0520018481582399,0.0178245711657793,0.0224401455184631,0.0248161916068348,0.00960044514306171,0.00528498339636489,0.00624265145142595,0.00687192269091952,0.00147208983327862,0.0166505413435964,0.0125586047115593,0.0183141193932491,0.0137844911000754,0.0109407685686556,0.0101363541737123,0.00832994006742631,0.00647051970675277,0.00630941216361169,6.94805194805195,116.220779220779,35,39,0
142,91,5,71,294,1.5079644737231,0.918242484808121,1,0.625,0.598977246931577,4.17810484334151,3,1,1,1,1,1.65460727052714,-5.15242323438302,10.242,1.25,0.707355302630646,0.105446302728471,0.0785950336256273,0.274520650570198,0.0351487675761569,0.0585812792935948,0.330099141227635,0.244224534475381,0.27739471196703,0.0611848917066434,0.0715993413588381,0.0325451551631082,0.257131900133225,0.431298828620173,0.296529051418287,0.306154573179826,0.0157663196123502,0.0108483850543695,0.068706438677673,0.0180806417572825,0.246781936857422,0.119607991462014,0.316736022619481,0.223613024189822,0.271718454202552,0.0499025712500997,0.0518311730375435,0.0325451551631083,0.0542419252718469,0.0100448009762679,71.4,293.2,91,118,0
142,97,145,328,325,1.97523622384467,0.931169821641715,1,0.549242424242424,0.450127894805177,25.4234482053591,24.0416305603426,4,1.83277446759788,2,9.20634328910001,9.26902672794186,-11.8356188527733,63.624,0.792349726775956,0.319411304475084,0.0523537725781069,0.100728323317939,0.0744580105284382,0.0586622948692299,0.0129371744775048,0.011755943380944,0.0323720894457347,0.0386374796005332,0.0399347932206083,0.0152702441807109,0.00706440236698967,0.0177698862594973,0.00554976028755942,0.0207631732278779,0.0216602744327918,0.0146705944660454,0.0115173148283599,0.00679572719656879,0.00475094884743339,0.00908759134331127,0.00795285566585783,0.0110293047253564,0.00941555192850717,0.0127974312572575,0.000717635782576175,0.00349651802817156,0.00575881637503451,0.00423595601104647,0.00320711726736501,328.772413793103,323.331034482759,97,124,0
155,45,46,278,221,1.2502335521231,0.832058890638399,1,0.638888888888889,0.708979675511926,10.6690813477083,10,3,1.47640944909731,1.20710678118655,5.69209978830308,5.91800394286215,-55.7650701236479,28.554,0.851851851851852,0.585690190578175,0.104994022593128,0.119175221387211,0.101046138504231,0.0491269607619335,0.0399464576617904,0.0209829876972354,0.0319002085516763,0.0478596572033322,0.020092741809051,0.0199246938735351,0.0211964979119725,0.0195814056063913,0.0218989754004778,0.0230564097012695,0.0276273145345098,0.0203510209119596,0.00493920707762169,0.00581778358074911,0.00856777156885537,0.039902390227695,0.0220266127979733,0.0324622719131454,0.0262285318571979,0.0188497297344568,0.00635849440884924,0.0171444949141353,0.0158886994657125,0.0244418074979135,0.0117215616055471,278.130434782609,220.782608695652,45,48,1
159,67,33,13,342,1.06022304874466,0.697605951387878,1,0.6875,0.815223427463903,7.76139602887974,7.28010988928052,2.82842712474619,1.46971579079101,1.4142135623731,4.91934955049954,5.56089773450615,-18.9451183822302,22.554,0.916666666666667,0.792771792004913,0.128525441568593,0.0847617639250535,0.0893864660078456,0.0308358510981685,0.0610495781373491,0.0386649111800189,0.0624752501599108,0.041885392775865,0.0361406069715877,0.0420048481587547,0.0239432493697322,0.0790162374825161,0.0674093648797957,0.0368684988236889,0.0307533160244551,0.0427619775618804,0.0205959959789299,0.0221982538320459,0.0143272752420722,0.0662265636926602,0.0834699671353721,0.0549573975057552,0.0242703913040867,0.0375836110531036,0.0338570473893934,0.0178136760920457,0.0250340082574493,0.041802151546509,0.00836964201927035,13.2121212121212,341.484848484849,67,73,0
